,Vancouver Coastal,Fraser
2020-03-03,3,1
2020-03-04,4,0
2020-03-05,0,3
2020-03-06,2,4
2020-03-07,1,0
2020-03-08,0,3
2020-03-09,3,1
2020-03-10,4,5
2020-03-11,11,8
2020-03-12,8,4
2020-03-13,16,4
2020-03-14,7,2
2020-03-15,19,3
2020-03-16,28,11
2020-03-17,25,11
2020-03-18,29,23
2020-03-19,24,12
2020-03-20,33,14
2020-03-21,35,3
2020-03-22,23,8
2020-03-23,28,56
2020-03-24,24,24
2020-03-25,43,26
2020-03-26,16,30
2020-03-27,27,22
2020-03-28,20,3
2020-03-29,22,2
2020-03-30,24,51
2020-03-31,16,16
2020-04-01,23,17
2020-04-02,19,28
2020-04-03,13,10
2020-04-04,14,3
2020-04-05,8,2
2020-04-06,22,26
2020-04-07,10,27
2020-04-08,11,20
2020-04-09,5,23
2020-04-10,13,23
2020-04-11,4,20
2020-04-12,3,11
2020-04-13,9,17
2020-04-14,12,19
2020-04-15,1,8
2020-04-16,10,39
2020-04-17,6,13
2020-04-18,8,13
2020-04-19,4,7
2020-04-20,7,18
2020-04-21,34,27
2020-04-22,11,13
2020-04-23,9,18
2020-04-24,11,58
2020-04-25,19,39
2020-04-26,1,9
2020-04-27,10,41
2020-04-28,5,33
2020-04-29,5,21
2020-04-30,8,14
2020-05-01,5,14
2020-05-02,8,22
2020-05-03,6,13
2020-05-04,2,12
2020-05-05,5,16
2020-05-06,7,20
2020-05-07,8,10
2020-05-08,2,11
2020-05-09,1,7
2020-05-10,1,11
2020-05-11,1,9
2020-05-12,3,9
2020-05-13,0,13
2020-05-14,0,14
2020-05-15,0,20
2020-05-16,3,4
2020-05-17,1,9
2020-05-18,2,3
2020-05-19,0,16
2020-05-20,0,8
2020-05-21,3,14
2020-05-22,2,9
2020-05-23,1,3
2020-05-24,1,6
2020-05-25,1,7
2020-05-26,0,6
2020-05-27,1,8
2020-05-28,1,4
2020-05-29,2,8
2020-05-30,0,9
2020-05-31,2,14
2020-06-01,0,4
2020-06-02,2,21
2020-06-03,0,2
2020-06-04,0,4
2020-06-05,0,12
2020-06-06,0,6
2020-06-07,0,9
2020-06-08,1,8
2020-06-09,4,9
2020-06-10,2,7
2020-06-11,5,10
2020-06-12,5,9
2020-06-13,3,10
2020-06-14,3,5
2020-06-15,4,7
2020-06-16,4,13
2020-06-17,3,4
2020-06-18,1,4
2020-06-19,1,6
2020-06-20,0,6
2020-06-21,1,15
2020-06-22,4,5
2020-06-23,1,11
2020-06-24,7,13
2020-06-25,2,10
2020-06-26,2,4
2020-06-27,4,9
2020-06-28,1,2
2020-06-29,2,9
2020-06-30,6,8
2020-07-01,2,7
2020-07-02,5,3
2020-07-03,3,7
2020-07-04,5,9
2020-07-05,5,2
2020-07-06,2,6
2020-07-07,6,12
2020-07-08,3,14
2020-07-09,5,14
2020-07-10,9,13
